ticker,date,open,high,low,close
TEL,2018-01-24,0.006891,0.007432,0.005309,0.006371
TEL,2018-01-25,0.00637,0.007325,0.005232,0.006278
TEL,2018-01-26,0.006278,0.00734,0.005243,0.006291
TEL,2018-01-27,0.006291,0.007764,0.006291,0.007764
TEL,2018-01-28,0.007764,0.008621,0.006158,0.007389
TEL,2018-01-29,0.007389,0.007389,0.00585,0.00702
TEL,2018-01-30,0.00585,0.006383,0.004255,0.005319
TEL,2018-01-31,0.005357,0.00542,0.005357,0.00542
TEL,2018-02-01,0.005001,0.005028,0.003315,0.003335
TEL,2018-02-02,0.004515,0.004743,0.002752,0.004587
TEL,2018-02-03,0.004587,0.004874,0.003864,0.004854
TEL,2018-02-04,0.004854,0.004854,0.00331,0.004138
TEL,2018-02-05,0.00414,0.00414,0.002085,0.00278
TEL,2018-02-06,0.00278,0.003925,0.002355,0.003925
TEL,2018-02-07,0.003926,0.003926,0.003007,0.003007
TEL,2018-02-08,0.003007,0.004068,0.003007,0.003254
TEL,2018-02-09,0.003254,0.004389,0.003254,0.004389
TEL,2018-02-10,0.004388,0.004388,0.003403,0.004254
TEL,2018-02-11,0.004255,0.004255,0.002434,0.003245
TEL,2018-02-12,0.003245,0.004326,0.002596,0.003461
TEL,2018-02-13,0.003461,0.004205,0.002523,0.004205
TEL,2018-02-14,0.004205,0.004601,0.00368,0.00368
TEL,2018-02-15,0.00368,0.00464,0.00368,0.00464
TEL,2018-02-16,0.003712,0.00469,0.003712,0.003752
TEL,2018-02-17,0.003752,0.004874,0.003752,0.004874
TEL,2018-02-18,0.004874,0.004874,0.003656,0.00457
TEL,2018-02-19,0.00457,0.004699,0.003759,0.004699
TEL,2018-02-20,0.004699,0.004699,0.003542,0.004428
TEL,2018-02-21,0.004428,0.004428,0.00336,0.004201
TEL,2018-02-22,0.004201,0.004201,0.003219,0.004023
TEL,2018-02-23,0.004023,0.004274,0.003419,0.004274
TEL,2018-02-24,0.004274,0.004274,0.003334,0.004167
TEL,2018-02-25,0.004167,0.004201,0.003361,0.004201
TEL,2018-02-26,0.004201,0.004338,0.00347,0.004338
TEL,2018-02-27,0.004338,0.004358,0.002615,0.002615
TEL,2018-02-28,0.002615,0.004257,0.002554,0.002554
TEL,2018-03-01,0.002554,0.003488,0.002554,0.003479
TEL,2018-03-02,0.003479,0.003479,0.002567,0.003422
TEL,2018-03-03,0.003422,0.003431,0.002567,0.003423
TEL,2018-03-04,0.003423,0.003477,0.002594,0.003459
TEL,2018-03-05,0.00346,0.00346,0.002548,0.003398
TEL,2018-03-06,0.003398,0.003398,0.002447,0.002447
TEL,2018-03-07,0.002447,0.003005,0.002253,0.003005
TEL,2018-03-08,0.003005,0.003005,0.002096,0.002795
TEL,2018-03-09,0.002795,0.002908,0.002181,0.002908
TEL,2018-03-10,0.002907,0.002907,0.002047,0.002729
TEL,2018-03-11,0.002729,0.002881,0.002161,0.002881
TEL,2018-03-12,0.002881,0.002881,0.002091,0.002161
TEL,2018-03-13,0.00223,0.00223,0.00207,0.002139
TEL,2018-03-14,0.002139,0.002139,0.001656,0.001839
TEL,2018-03-15,0.001839,0.001839,0.001404,0.00171
TEL,2018-03-16,0.00171,0.001922,0.001561,0.001802
TEL,2018-03-17,0.001856,0.001856,0.001539,0.001649
TEL,2018-03-18,0.001649,0.001649,0.001451,0.001558
TEL,2018-03-19,0.001558,0.001722,0.001556,0.001667
TEL,2018-03-20,0.001611,0.001784,0.001611,0.001728
TEL,2018-03-21,0.001728,0.001848,0.001728,0.001848
TEL,2018-03-22,0.001848,0.001848,0.001674,0.001782
TEL,2018-03-23,0.001782,0.001849,0.001686,0.001795
TEL,2018-03-24,0.001795,0.001795,0.001665,0.001769
TEL,2018-03-25,0.001769,0.002563,0.001726,0.002406
TEL,2018-03-26,0.002406,0.002406,0.001799,0.002091
TEL,2018-03-27,0.00209,0.002244,0.001885,0.002244
TEL,2018-03-28,0.002244,0.002319,0.002007,0.002096
TEL,2018-03-29,0.002096,0.002096,0.001536,0.001574
TEL,2018-03-30,0.001574,0.00189,0.001574,0.001733
TEL,2018-03-31,0.001733,0.001773,0.001655,0.001773
TEL,2018-04-01,0.001773,0.001773,0.001591,0.001629
TEL,2018-04-02,0.001629,0.001693,0.001577,0.001654
TEL,2018-04-03,0.001654,0.00188,0.001654,0.001705
